Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Waveform 1	1	1199.110037735	1199.729254240	319.100	2350.700	SUSO
1	Spectrogram 1	1	1199.110037735	1199.729254240	319.100	2350.700	SUSO
2	Waveform 1	1	1214.058192371	1214.661885342	406.100	2085.300	SUSO?
2	Spectrogram 1	1	1214.058192371	1214.661885342	406.100	2085.300	SUSO?
3	Waveform 1	1	1241.831084177	1242.577938625	284.400	2521.300	SUSO
3	Spectrogram 1	1	1241.831084177	1242.577938625	284.400	2521.300	SUSO
4	Waveform 1	1	1244.675340491	1245.275583789	189.600	2237.000	SUSO
4	Spectrogram 1	1	1244.675340491	1245.275583789	189.600	2237.000	SUSO
5	Waveform 1	1	1251.402724696	1252.002967993	275.600	2218.000	SUSO
5	Spectrogram 1	1	1251.402724696	1252.002967993	275.600	2218.000	SUSO
6	Waveform 1	1	1268.381111233	1268.962381322	189.600	1914.700	SUSO
6	Spectrogram 1	1	1268.381111233	1268.962381322	189.600	1914.700	SUSO
7	Waveform 1	1	1285.987257845	1293.917342476	170.600	4452.830	SUSO
7	Spectrogram 1	1	1285.987257845	1293.917342476	170.600	4452.830	SUSO
8	Waveform 1	1	1300.602778836	1301.359982306	261.100	1929.100	SUSO
8	Spectrogram 1	1	1300.602778836	1301.359982306	261.100	1929.100	SUSO
9	Waveform 1	1	1328.924688495	1329.624972341	290.100	1784.100	SUSO
9	Spectrogram 1	1	1328.924688495	1329.624972341	290.100	1784.100	SUSO
10	Waveform 1	1	1376.428824823	1377.336089118	360.200	1763.000	SUSO
10	Spectrogram 1	1	1376.428824823	1377.336089118	360.200	1763.000	SUSO
11	Waveform 1	1	1409.280238902	1410.173704499	341.200	1726.100	SUSO
11	Spectrogram 1	1	1409.280238902	1410.173704499	341.200	1726.100	SUSO
12	Waveform 1	1	1428.112619234	1429.064729292	420.600	1726.100	SUSO
12	Spectrogram 1	1	1428.112619234	1429.064729292	420.600	1726.100	SUSO
13	Waveform 1	1	1488.385549653	1496.523695523	303.300	1283.019	SUSO
13	Spectrogram 1	1	1488.385549653	1496.523695523	303.300	1283.019	SUSO
14	Waveform 1	1	1508.708717800	1509.498693174	435.100	1711.600	SUSO
14	Spectrogram 1	1	1508.708717800	1509.498693174	435.100	1711.600	SUSO
15	Waveform 1	1	1571.407903807	1571.763220241	322.300	2673.000	SUSO
15	Spectrogram 1	1	1571.407903807	1571.763220241	322.300	2673.000	SUSO
16	Waveform 1	1	1576.868737943	1577.982982684	436.000	2123.200	SUSO
16	Spectrogram 1	1	1576.868737943	1577.982982684	436.000	2123.200	SUSO
17	Waveform 1	1	1582.870115134	1597.232642671	303.300	3735.849	SUSO
17	Spectrogram 1	1	1582.870115134	1597.232642671	303.300	3735.849	SUSO
18	Waveform 1	1	1607.767724326	1608.838848141	464.200	2117.700	SUSO
18	Spectrogram 1	1	1607.767724326	1608.838848141	464.200	2117.700	SUSO
19	Waveform 1	1	1663.284338102	1663.944950697	420.600	2426.500	SUSO
19	Spectrogram 1	1	1663.284338102	1663.944950697	420.600	2426.500	SUSO
20	Waveform 1	1	1672.654360876	1673.461584621	436.000	2047.400	SUSO
20	Spectrogram 1	1	1672.654360876	1673.461584621	436.000	2047.400	SUSO
21	Waveform 1	1	1692.164566375	1692.814829947	420.600	2047.400	SUS
21	Spectrogram 1	1	1692.164566375	1692.814829947	420.600	2047.400	SUS
22	Waveform 1	1	1752.164902139	1752.682353258	522.200	1251.200	SUSO
22	Spectrogram 1	1	1752.164902139	1752.682353258	522.200	1251.200	SUSO
23	Waveform 1	1	1811.571256496	1812.202546861	530.800	1194.300	SUSO
23	Spectrogram 1	1	1811.571256496	1812.202546861	530.800	1194.300	SUSO
24	Waveform 1	1	1937.985851837	1938.572296438	549.800	1156.400	SUSO
24	Spectrogram 1	1	1937.985851837	1938.572296438	549.800	1156.400	SUSO
25	Waveform 1	1	2016.787627246	2017.518958160	568.600	1253.800	SUSO
25	Spectrogram 1	1	2016.787627246	2017.518958160	568.600	1253.800	SUSO
26	Waveform 1	1	2125.304470844	2125.959908927	151.700	2578.200	SUSO
26	Spectrogram 1	1	2125.304470844	2125.959908927	151.700	2578.200	SUSO
27	Waveform 1	1	2175.140882647	2175.680756647	189.500	2507.700	SUSO
27	Spectrogram 1	1	2175.140882647	2175.680756647	189.500	2507.700	SUSO
28	Waveform 1	1	2043.716500705	2055.268968506	306.200	2691.900	SUSO
28	Spectrogram 1	1	2043.716500705	2055.268968506	306.200	2691.900	SUSO
29	Waveform 1	1	2102.756619954	2103.472427335	170.600	2595.200	SUSO
29	Spectrogram 1	1	2102.756619954	2103.472427335	170.600	2595.200	SUSO
30	Waveform 1	1	105.111682931	106.091390382	644.500	1982.800	RISO
30	Spectrogram 1	1	105.111682931	106.091390382	644.500	1982.800	RISO
31	Waveform 1	1	111.773003661	112.645771214	697.100	2037.500	RISO
31	Spectrogram 1	1	111.773003661	112.645771214	697.100	2037.500	RISO
32	Waveform 1	1	123.683783114	124.378892449	539.400	3094.200	RISO
32	Spectrogram 1	1	123.683783114	124.378892449	539.400	3094.200	RISO
33	Waveform 1	1	114.968181444	115.502880933	627.500	3201.300	RISO
33	Spectrogram 1	1	114.968181444	115.502880933	627.500	3201.300	RISO
34	Waveform 1	1	147.703653556	148.773052534	522.800	3536.400	RISO
34	Spectrogram 1	1	147.703653556	148.773052534	522.800	3536.400	RISO
35	Waveform 1	1	176.251283953	177.417273807	656.100	2186.900	RISO
