Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Avg Entropy (bits)	BW 50% (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 50% (s)	Dur 90% (s)	Freq 25% (Hz)	Freq 5% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	PFC Avg Slope (Hz/ms)	PFC Max Freq (Hz)	PFC Max Slope (Hz/ms)	PFC Min Freq (Hz)	PFC Min Slope (Hz/ms)	PFC Num Inf Pts	Species
1	Spectrogram 1	1	1199.110037735	1199.729254240	319.100	2350.700	XC352949 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC352949 - Sunda Scops Owl - Otus lempiji lempiji.wav	13.7706	3.724	156.250	593.750	0.6192	0.0480	0.1760	812.500	718.750	968.750	1312.500	875.000	0.053	1062.500	44.922	343.750	-41.016	16.000	SUSO
2	Spectrogram 1	1	1214.058192371	1214.661885342	406.100	2085.300	XC352949 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC352949 - Sunda Scops Owl - Otus lempiji lempiji.wav	28.7187	3.567	125.000	343.750	0.6037	0.0480	0.1760	843.750	750.000	968.750	1093.750	875.000	0.000	1093.750	33.203	406.250	-41.016	15.000	SUSO
3	Spectrogram 1	1	1241.831084177	1242.577938625	284.400	2521.300	XC352949 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC352949 - Sunda Scops Owl - Otus lempiji lempiji.wav	56.4916	4.240	125.000	531.250	0.7469	0.0480	0.2080	843.750	718.750	968.750	1250.000	937.500	0.043	2437.500	126.953	312.500	-132.812	20.000	SUSO
4	Spectrogram 1	1	1244.675340491	1245.275583789	189.600	2237.000	XC359935 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC359935 - Sunda Scops Owl - Otus lempiji.wav	1.3179	3.301	156.250	718.750	0.6002	0.0640	0.1440	781.250	625.000	937.500	1343.750	906.250	2.511	1843.750	82.031	437.500	-35.156	12.000	SUSO
5	Spectrogram 1	1	1251.402724696	1252.002967993	275.600	2218.000	XC359935 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC359935 - Sunda Scops Owl - Otus lempiji.wav	8.0453	3.234	156.250	750.000	0.6002	0.0800	0.1600	781.250	625.000	937.500	1375.000	906.250	0.868	1718.750	50.781	500.000	-39.062	18.000	SUSO
6	Spectrogram 1	1	1268.381111233	1268.962381322	189.600	1914.700	XC359935 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC359935 - Sunda Scops Owl - Otus lempiji.wav	25.0237	3.360	187.500	687.500	0.5813	0.0800	0.1440	750.000	625.000	937.500	1312.500	906.250	-2.902	1906.250	62.500	281.250	-60.547	14.000	SUSO
7	Spectrogram 1	1	1285.987257845	1286.608199187	170.600	2237.000	XC359935 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC359935 - Sunda Scops Owl - Otus lempiji.wav	42.6298	3.403	156.250	781.250	0.6209	0.0960	0.1440	750.000	593.750	906.250	1375.000	906.250	-1.267	1156.250	5.859	343.750	-35.156	13.000	SUSO
8	Spectrogram 1	1	1300.602778836	1301.359982306	261.100	1929.100	XC385144 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC385144 - Sunda Scops Owl - Otus lempiji lempiji.wav	4.1645	3.399	62.500	187.500	0.7572	0.0640	0.1760	812.500	718.750	875.000	906.250	875.000	0.085	1000.000	19.531	406.250	-23.438	15.000	SUSO
9	Spectrogram 1	1	1328.924688495	1329.624972341	290.100	1784.100	XC385144 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC385144 - Sunda Scops Owl - Otus lempiji lempiji.wav	32.4864	3.423	62.500	187.500	0.7003	0.0640	0.2080	781.250	687.500	843.750	875.000	812.500	1.023	1062.500	17.578	375.000	-9.766	14.000	SUSO
10	Spectrogram 1	1	1376.428824823	1377.336089118	360.200	1763.000	XC423260 - Sunda Scops Owl - Otus lempiji lemurum.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC423260 - Sunda Scops Owl - Otus lempiji lemurum.wav	33.9367	3.280	62.500	562.500	0.9073	0.3360	0.6240	750.000	593.750	812.500	1156.250	781.250	0.391	1156.250	41.016	406.250	-31.250	18.000	SUSO
11	Spectrogram 1	1	1409.280238902	1410.173704499	341.200	1726.100	XC505516 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC505516 - Sunda Scops Owl - Otus lempiji lempiji.wav	19.2445	3.395	62.500	125.000	0.8935	0.0640	0.1920	750.000	718.750	812.500	843.750	781.250	0.111	1593.750	72.266	343.750	-66.406	29.000	SUSO
12	Spectrogram 1	1	1428.112619234	1429.064729292	420.600	1726.100	XC505516 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC505516 - Sunda Scops Owl - Otus lempiji lempiji.wav	38.0769	3.409	31.250	93.750	0.9521	0.0480	0.1760	750.000	718.750	781.250	812.500	781.250	0.583	1718.750	60.547	500.000	-48.828	32.000	SUSO
13	Spectrogram 1	1	1488.385549653	1489.206572094	303.300	1800.900	XC578011 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC578011 - Sunda Scops Owl - Otus lempiji.wav	0.3761	3.344	31.250	62.500	0.8210	0.0640	0.1440	781.250	750.000	812.500	812.500	812.500	0.199	812.500	23.438	375.000	-23.438	20.000	SUSO
14	Spectrogram 1	1	1508.708717800	1509.498693174	435.100	1711.600	XC578011 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC578011 - Sunda Scops Owl - Otus lempiji.wav	20.6992	3.185	31.250	93.750	0.7900	0.0640	0.1600	750.000	718.750	781.250	812.500	781.250	1.413	1625.000	60.547	437.500	-33.203	20.000	SUSO
15	Spectrogram 1	1	1571.407903807	1571.763220241	322.300	2673.000	XC645929 - Sunda Scops Owl - Otus lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC645929 - Sunda Scops Owl - Otus lempiji.wav	28.7829	3.523	93.750	1000.000	0.3553	0.0960	0.2240	750.000	375.000	843.750	1375.000	812.500	0.000	843.750	29.297	343.750	-25.391	5.000	SUSO
16	Spectrogram 1	1	1576.868737943	1577.982982684	436.000	2123.200	XC825552 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC825552 - Sunda Scops Owl - Otus lempiji lempiji.wav	2.6364	3.545	125.000	187.500	1.1142	0.0800	0.1920	843.750	812.500	968.750	1000.000	968.750	0.787	1593.750	46.875	718.750	-44.922	28.000	SUSO
17	Spectrogram 1	1	1588.350095636	1589.098674921	303.300	2104.300	XC825552 - Sunda Scops Owl - Otus lempiji lempiji.wav	/Users/blg85/Documents/Cornell/TS8/Exercise/Dataset/Owl_Recordings/XC825552 - Sunda Scops Owl - Otus lempiji lempiji.wav	14.1177	3.103	125.000	156.250	0.7486	0.0960	0.1920	843.750	843.750	968.750	1000.000	968.750	-0.911	1531.250	35.156	843.750	-42.969	16.000	SUSO
